ref_#,domain,media_description,title,instruction,question,assessment_type,cefr_level,cefr_descriptor,question_type,subtype,skill_focus,topic,context,learning_objective,difficulty,expected_time,discrimination,guessing_factor,weight,tags,partial_credit_enabled,feedback_correct,feedback_incorrect,correct_count,incorrect_count,media_url,max_attempts,word_limit_min,word_limit_max,text_genre
W-B2-14,General,,,Read the task below and write your response in the space provided.,<p><em>More people than ever are choosing to learn a foreign language.</em></p><p><br></p><p><strong>Write an essay discussing why learning a foreign language is important.</strong></p><p><br></p><ul><li>Consider how speaking another language can affect job opportunities and career development</li><li>Think about the benefits for travel and understanding other cultures</li><li>Use examples from your own experience or people you know</li></ul><p><br></p>,Writing,b2,"""can develop an argument, giving reasons in support of or against a particular point of view""",essay,inform (b2),holistic (b2),"education, study, and language (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,4,,0,50,400,
W-B2-15,General,,,Read the task below and write your response in the space provided.,<p><em>Many people struggle to maintain a healthy lifestyle in today's busy world.</em></p><p><br></p><p><strong>Write an essay discussing how people can improve their health and wellbeing.</strong></p><p><br></p><ul><li>Consider the role of diet and exercise in maintaining good health</li><li>Think about the challenges people face and how they can overcome them</li><li>Use examples from your own life and experience</li></ul><p><br></p>,Writing,b2,"""can write an essay or report which develops an argument systematically""",essay,inform (b2),holistic (b2),body and health (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,5,,0,50,400,
W-B2-16,General,,,Read the task below and write your response in the space provided.,"<p><em>Children are spending more time than ever in front of screens.</em></p><p><br></p><p><strong>Write an essay discussing the effects of screen time on children's development.</strong></p><p><br></p><ul><li>Consider how excessive screen time can affect children's health, learning, and social skills</li><li>Think about the responsibility of parents, schools, and technology companies</li><li>Use examples from your own observations or experience</li></ul><p><br></p>",Writing,b2,"""can write an essay which develops an argument, giving reasons in support of or against a particular point of view""",essay,inform (b2),holistic (b2),politics and society (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,8,,0,50,400,
W-B2-17,General,,,Read the task below and write your response in the space provided.,<p><em>Write a report about study facilities at your school. </em></p><p><br></p><p>Include information about: </p><p><br></p><p>- current situation </p><p>- problems </p><p>- recommendations</p>,Writing,b2,"""can write a report which develops an argument systematically with appropriate highlighting of significant points""",report,inform (b2),holistic (b2),"education, study, and language (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-18,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a progress report about a team project. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- goals achieved </p><p>- current challenges -</p><p> resource needs </p><p>- next steps</p>,Writing,b2,"can write clear, detailed descriptions of work processes",report,inform (b2),holistic (b2),workplace and jobs (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-19,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an article about effective cross-cultural workplace communication.</strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- common challenges </p><p>- successful strategies </p><p>- practical tips </p><p>- specific examples</p>,Writing,b2,"can write clear, detailed descriptions with analysis",article,inform (b2),holistic (b2),workplace and jobs (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-20,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a review of a film, book, or play for an online arts magazine. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- brief plot summary </p><p>- analysis of main themes </p><p>- evaluation of effectiveness </p><p>- recommendation with reasons</p>",Writing,b2,"can write reviews of films, books or plays",article,describe (b2),holistic (b2),"media, arts, literature, and entertainment (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-21,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a report about waste management in your area for the local council. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- current situation </p><p>- main problems </p><p>- successful solutions from other areas </p><p>- specific recommendations</p>,Writing,b2,can synthesize information and arguments from a number of sources,report,describe (b2),holistic (b2),natural world and environment (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-22,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a proposal to your manager suggesting flexible working hours. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- current situation </p><p>- benefits to employees </p><p>- benefits to company </p><p>- implementation suggestions</p>,Writing,b2,can compose formal letters requesting or suggesting changes,email / letter,persuade (b2),holistic (b2),workplace and jobs (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-23,General,,,Read the task below and write your response in the space provided.,<p>Write an article for a health magazine about work-life balance. </p><p><br></p><p>Include information about: </p><p><br></p><p>- current challenges </p><p>- impacts on health </p><p>- successful strategies </p><p>- expert recommendations</p>,Writing,b2,"can write clear, detailed descriptions on a variety of subjects",report,inform (b2),holistic (b2),body and health (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-24,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a letter to your bank complaining about incorrect charges. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- account details </p><p>- explanation of problem </p><p>- evidence of error </p><p>- requested resolution</p>,Writing,b2,can compose formal letters of complaint including supporting details,email / letter,describe (b2),holistic (b2),"business, industry, and the economy (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B2-25,General,,,Read the task below and write your response in the space provided.,<p><em>Artificial intelligence is becoming a part of everyday life for many people.</em></p><p><br></p><p><strong>Write an essay discussing the benefits and risks of AI in daily life.</strong></p><p><br></p><ul><li>Consider how AI is already being used and how it affects people's lives</li><li>Think about both the opportunities it creates and the problems it could cause</li><li>Use examples from your own experience or things you have read about</li></ul><p><br></p>,Writing,b2,can develop an argument systematically with appropriate highlighting,essay,describe (b2),holistic (b2),science and technology (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,4,,0,50,400,
W-B2-26,General,,,Read the task below and write your response in the space provided.,"<p><em>Working from home has become increasingly common in recent years.</em></p><p><br></p><p><strong>Write an essay discussing the advantages and disadvantages of working from home.</strong></p><p><br></p><ul><li>Consider how it affects productivity, work-life balance, and relationships with colleagues</li><li>Think about which types of workers or jobs benefit most and which do not</li><li>Use examples from your own experience or people you know</li></ul><p><br></p>",Writing,b2,"can write an essay which develops an argument, giving reasons in support of or against a particular point of view",essay,describe (b2),holistic (b2),science and technology (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,4,,0,50,400,
W-B2-27,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a review comparing how different news sources report the same event. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- main perspectives </p><p>- evidence used </p><p>- potential bias </p><p>- overall reliability</p>,Writing,b2,can evaluate different ideas or solutions to a problem,report,describe (b2),holistic (b2),"media, arts, literature, and entertainment (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-1,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a report examining the impact of remote work on employee mental health. </strong></p><p><br></p><p>Include information about: </p><p><br></p><p>- research findings </p><p>- psychological effects </p><p>- productivity implications </p><p>- organizational strategies </p><p>- recommendations</p>,Writing,c1,"can write clear, well-structured reports that present relevant arguments cogently",report,evaluate (c1),holistic (c1),body and health (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-2,General,,,Read the task below and write your response in the space provided.,"<p><em>Technology has transformed society in ways that were unimaginable a generation ago.</em></p><p><br></p><p><strong>Write an essay examining whether the benefits of technology outweigh its costs to society.</strong></p><p><br></p><ul><li>Consider the impact of technology on human relationships, work, and individual freedom</li><li>Evaluate the extent to which technology creates new problems while solving old ones</li><li>Support your argument with specific evidence and examples</li></ul><p><br></p>",Writing,c1,"""can produce clear, well-structured expositions of complex subjects, underlining the relevant salient issues""",essay,evaluate (c1),holistic (c1),science and technology (c1),,,0.93,1200,1.0,0.0,1.0,,FALSE,,,0,2,,0,50,500,
W-C1-5,General,,,Read the task below and write your response in the space provided.,"<p><em>Climate change is no longer a distant threat, its effects are already being felt by communities around the world.</em></p><p><br></p><p><strong>Write an essay examining how climate change is affecting local communities and who bears the greatest responsibility for addressing it.</strong></p><p><br></p><ul><li>Consider the specific ways climate change impacts people's daily lives, livelihoods, and wellbeing</li><li>Evaluate the role of governments, corporations, and individuals in both causing and solving the problem</li><li>Support your argument with specific evidence and examples</li></ul><p><br></p>",Writing,c1,"""can produce clear, well-structured expositions of complex subjects, underlining the relevant salient issues""",essay,evaluate (c1),holistic (c1),natural world and environment (c1),,,0.93,1200,1.0,0.0,1.0,,FALSE,,,0,1,,0,50,500,
W-C1-6,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a proposal for improving work-life balance in your company. </strong></p><p><br></p><p>Include the following: </p><p><br></p><ul><li>Background Information, </li><li>Analysis, </li><li>Recommendations.</li></ul>",Writing,c1,"""can present a complex topic confidently and articulately to an audience unfamiliar with it""",proposal,evaluate (c1),holistic (c1),workplace and jobs (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-C1-7,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a proposal for implementing ethical AI practices in workplace decision-making. </strong></p><p><br></p><p>Address the following: </p><p><br></p><p>- current practices </p><p>- ethical considerations </p><p>- implementation strategy </p><p>- risk management </p><p>- success metrics</p>,Writing,c1,"can produce clear, detailed proposals on complex subjects",proposal,evaluate (c1),holistic (c1),science and technology (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-C1-8,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an article analyzing how social media affects political discourse. </strong></p><p><br></p><p>Examine the following: </p><p><br></p><p>- information dissemination </p><p>- echo chambers </p><p>- democratic participation </p><p>- policy implications </p><p>- future trends</p>,Writing,c1,"can write clear, well-structured expositions integrating sub-themes",article,evaluate (c1),holistic (c1),politics and society (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-9,General,,,Read the task below and write your response in the space provided.,"<p><em>Fuel prices affect almost every aspect of daily life, from the cost of food to the ability to travel to work.</em></p><p><br></p><p><strong>Write an essay examining whether governments should control the price of fuel.</strong></p><p><br></p><ul><li><em>Consider the arguments for and against government intervention in fuel pricing</em></li><li><em>Evaluate the impact of high fuel prices on different groups in society</em></li><li><em>Support your position with specific evidence and reasoning</em></li></ul><p><br></p>",Writing,c1,"can present complex topics clearly, marking relationships between ideas",essay,persuade (c1),holistic (c1),natural world and environment (c1),,,0.9,1200,1.0,0.0,1.0,,FALSE,,,0,0,,0,50,500,
W-C1-10,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an analysis of how digital technology is transforming contemporary art. </strong></p><p><br></p><p>Examine the following: </p><p><br></p><p>- artistic practices </p><p>- audience engagement </p><p>- market dynamics </p><p>- cultural implications </p><p>- future directions</p>,Writing,c1,"can write clear, detailed analyses showing relationships between concepts",report,evaluate (c1),holistic (c1),"media, arts, literature, and entertainment (c1)",,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-11,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an advisory report on implementing sustainable urban development. </strong></p><p><br></p><p>Include the following: </p><p><br></p><p>- environmental aspects </p><p>- economic viability </p><p>- social impact </p><p>- technical feasibility </p><p>- implementation roadmap</p>,Writing,c1,"can write clear, well-structured complex reports",report,evaluate (c1),holistic (c1),"countries, cities, towns, and public places (c1)",,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-14,General,,,Read the task below and write your response in the space provided.,"<p><em>Some people argue that individual actions make little difference to environmental protection when compared to the power of corporations and governments.</em></p><p><br></p><p><strong>Write an essay responding to this statement, giving your own view.</strong></p><p><br></p><ul><li>Consider the arguments for and against individual responsibility</li><li>Evaluate the role of corporations and governments in driving meaningful change</li><li>Support your position with examples from your own knowledge and experience</li></ul><p><br></p>",Writing,c1,"can produce clear, well-structured expositions of complex subjects, underlining the relevant salient issues, expanding and supporting points of view at some length with subsidiary points, reasons and relevant examples.",essay,evaluate (c1),holistic (c1),natural world and environment (c1),,,0.93,1200,1.0,0.0,1.0,,FALSE,,,0,1,,0,50,500,
W-C1-15,General,,,Read the task below and write your response in the space provided.,"<p><em>As artificial intelligence becomes more powerful, some argue it should be controlled by international law.</em></p><p><br></p><p><strong>Write an essay responding to this statement, giving your own view.</strong></p><p><br></p><ul><li>Consider the potential risks of unregulated AI development and who might be affected</li><li>Evaluate whether international regulation is realistic and who should be responsible</li><li>Support your position with examples from your own knowledge and experience</li></ul><p><br></p>",Writing,c1,"can produce clear, well-structured expositions of complex subjects, underlining relevant salient issues",essay,evaluate (c1),holistic (c1),science and technology (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0,1,,0,50,500,
W-C1-16,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a review evaluating a recent international environmental agreement. </strong></p><p><br></p><p>Analyze the following: </p><p><br></p><p>- key provisions </p><p>- stakeholder interests </p><p>- implementation challenges </p><p>- likely effectiveness </p><p>- recommendations for improvement</p>,Writing,c1,"can write clear, detailed, well-structured reviews on complex topics",article,evaluate (c1),holistic - c1 (all skills),natural world and environment (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B1-8,General,,,Read the task below and write your response in the space provided.,"<p>You are going away for a week. </p><p><br></p><p><strong>Write an email to your friend who is taking care of your cat. </strong></p><p><br></p><p>Tell them what to feed the cat, how often, and any other important details.</p>",Writing,b1,"""can take messages communicating enquiries and explaining problems""",email / letter,inform (b1),holistic (b1),"people, relationships, and family (b1)",,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-16,General,,,Read the task below and write your response in the space provided.,"<p><strong>Read the following text about the Scottish Highlands, then write a short summary.</strong></p><p><br></p><p class=""ql-align-center""><strong><u>The Scottish Highlands</u></strong></p><p><br></p><p>The Scottish Highlands are a region of outstanding natural beauty located in the northern part of Scotland. Known for their dramatic landscapes, the Highlands feature towering mountains, deep glens, and clear lochs. One of the most famous natural landmarks is Ben Nevis, the tallest mountain in the United Kingdom, which attracts hikers and climbers from around the world.</p><p><br></p><p>The region is not just about nature; it also has a rich cultural history. The Highlands were the site of many historical events, including the famous Jacobite uprisings of the 18th century. Castles such as Eilean Donan and Urquhart tell the story of Scotland’s turbulent past. The area is also home to traditions such as Highland games, which celebrate Scottish culture through sports, music, and dancing.</p><p><br></p><p>Today, the Highlands are a popular destination for tourists. Visitors can enjoy activities like hiking, wildlife spotting, and exploring picturesque villages. The local economy relies heavily on tourism, alongside agriculture and fishing. Despite its remoteness, the region offers a unique blend of natural beauty and cultural heritage.</p>",Writing,b1,"""can summarise, report and give their opinion about accumulated factual information on familiar matters""",summary,describe (b1),holistic (b1),"countries, cities, towns, and public places (b1)",,,0.64,600,0.1,0.0,1.0,,FALSE,,,0.0,9.0,,0,,,
W-B1-17,General,,,Read the task below and write your response in the space provided.,"<p><strong>Read the following text comparing two mobile phones, then write a short summary.&nbsp;&nbsp;</strong></p><p><br></p><p class=""ql-align-center""><strong><u>Comparing Two Mobile Phones</u></strong></p><p><br></p><p>When choosing a new mobile phone, comparing features is essential. Let’s look at two popular models: the TechPhone X2 and the Galaxy Lite 12. Both offer excellent functionality but cater to slightly different users.</p><p><br></p><p>The TechPhone X2 is known for its long battery life, lasting up to 48 hours on a single charge. It also has a sleek design and a large 6.5-inch screen, making it ideal for watching videos or browsing the internet. Its camera is capable of capturing high-resolution images, perfect for photography enthusiasts. However, the TechPhone X2 is slightly heavier and costs more than the Galaxy Lite 12.</p><p><br></p><p>On the other hand, the Galaxy Lite 12 is lightweight and more affordable. While its battery lasts only 36 hours, it charges faster. Its 6.1-inch screen is slightly smaller but still offers excellent quality for streaming content. The Galaxy Lite 12’s camera is not as advanced as the TechPhone X2, but it performs well in good lighting conditions.</p><p><br></p><p>Both phones include advanced features like face recognition and high-speed processors. Ultimately, the choice depends on personal preferences and priorities, such as budget, screen size, or battery life.</p>",Writing,b1,"""can summarise straightforward factual information on familiar routine matters""",summary,inform (b1),holistic (b1),science and technology (b1),,,0.64,600,0.1,0.0,1.0,,FALSE,,,0.0,10.0,,0,,,
W-B1-19,General,,,Read the task below and write your response in the space provided.,"<p><strong>Read the following text about the Industrial Revolution, then write a short summary.</strong></p><p><br></p><p class=""ql-align-center""><strong><u>The Industrial Revolution</u></strong></p><p><br></p><p>The Industrial Revolution, which began in the late 18th century, was a period of significant change in Europe and North America. It marked the transition from manual labor to machine-based manufacturing, starting in Britain before spreading worldwide.</p><p><br></p><p>During this time, new inventions such as the spinning jenny and the steam engine transformed industries like textiles and transportation. Factories replaced small workshops, and cities grew as people moved to urban areas for work. This period also saw the rise of railways, which made it easier to transport goods across long distances.</p><p><br></p><p>However, the Industrial Revolution brought challenges as well. Many factory workers faced long hours and poor working conditions. Child labor was common, and pollution from factories increased. Despite these issues, the era laid the foundation for modern industrial economies and led to improvements in areas like education and healthcare over time.</p><p><br></p><p>The Industrial Revolution was a turning point in history, shaping the way we live and work today.</p>",Writing,b1,"""can summarise the main points in simple, factual texts on familiar subjects""",summary,describe (b1),holistic (b1),"business, industry, and the economy (b1)",,,0.64,600,0.1,0.0,1.0,,FALSE,,,0.0,6.0,,0,,,
W-C1-3,General,,,Read the task below and write your response in the space provided.,"<p><strong>Read the four articles and write a report outlining waste management issues and solutions.</strong></p><p><br></p><p><strong>Text 1: The Problem of Plastic Waste</strong></p><p><br></p><p>Plastic waste is one of the most significant environmental challenges today. Millions of tons of plastic end up in oceans and landfills every year, causing harm to marine life and ecosystems. Single-use plastics, such as bags, bottles, and packaging, contribute to the majority of this problem. Due to its non-biodegradable nature, plastic takes hundreds of years to decompose. Governments and organizations have started promoting alternatives like biodegradable materials and reusable products. Bans on single-use plastics and incentives for businesses to reduce plastic use have been introduced, but consumer habits must also change to make a significant impact.</p><p><br></p><p><strong>Text 2: Urban Waste and Overfilled Landfills</strong></p><p><br></p><p>Cities generate enormous amounts of waste daily, which often overwhelms landfills. A lack of efficient sorting systems leads to recyclable and organic waste being dumped alongside non-recyclable materials. This not only fills landfills faster but also produces harmful gases like methane, contributing to climate change. Solutions such as waste segregation at the source, composting organic waste, and encouraging recycling through community initiatives have proven effective. Many cities are also investing in waste-to-energy plants, which convert non-recyclable waste into usable energy, reducing landfill dependency.</p><p><br></p><p><strong>Text 3: E-Waste: A Growing Concern</strong></p><p><br></p><p>Electronic waste (e-waste) is rapidly becoming a serious issue due to the increased consumption of digital devices. Items like old smartphones, computers, and batteries are often discarded improperly, leading to soil and water contamination from hazardous chemicals. E-waste also contains valuable metals like gold and copper, which are lost during improper disposal. To address this, governments are implementing e-waste recycling programs and introducing ""take-back"" schemes where manufacturers are responsible for collecting and recycling old devices. Consumers are encouraged to donate or properly recycle electronics instead of disposing of them.</p><p><br></p><p><strong>Text 4: Community-Based Waste Solutions</strong></p><p><br></p><p>Community involvement is crucial for effective waste management. Educational campaigns about recycling and responsible waste disposal can help raise awareness. Programs such as “zero-waste” communities promote practices like reducing consumption, reusing materials, and composting organic waste. In some areas, local governments partner with non-profit organizations to provide waste bins for segregation and organize clean-up drives. Additionally, rewards or tax incentives for households and businesses that effectively manage their waste encourage active participation. Such grassroots solutions have proven to significantly reduce waste generation and promote a cleaner environment.</p>",Writing,c1,"""can write clear, detailed, well-structured and developed descriptions and imaginative texts""",report,evaluate (c1),holistic (c1),natural world and environment (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-4,General,,,Read the task below and write your response in the space provided.,"<p><strong>Read the text exchange between two friends and then write a formal letter of complaint to a hotel manager.&nbsp;&nbsp;&nbsp;&nbsp;</strong></p><p><br></p><p><strong>Mark</strong>: So, Dubai second honeymoon? Must be incredible!</p><p><br></p><p><strong>Jake</strong>: Don’t even talk to me. This so-called “luxury” hotel is a disaster.</p><p><br></p><p><strong>Mark</strong>: What?! Isn’t it 5-star? What’s wrong?</p><p><br></p><p><strong>Jake</strong>: First, the room wasn’t ready when we arrived. We spent three hours staring at fake gold decor in the lobby.</p><p><br></p><p><strong>Mark</strong>: Three hours?! That’s ridiculous.</p><p><br></p><p><strong>Jake</strong>: Oh, and the air con’s broken, so the room feels like a sauna. I swear I’m melting. Plus, they forgot our dinner reservation last night.</p><p><br></p><p><strong>Mark</strong>: Seriously poor. Anything else?</p><p><br></p><p><strong>Jake</strong>: The pillows are too soft—I feel like I’m drowning in them. Oh, and the pool bar ran out of those fancy mango mocktails my wife loves.</p><p><br></p><p><strong>Mark</strong>: Soft pillows and no drinks? ... Sounds like first-world problems!</p><p><br></p><p><strong>Jake</strong>: Look, I know that’s petty, but with all the noise from the construction next door, I’m at breaking point.</p><p><br></p><p><strong>Mark</strong>: Fair. But maybe skip the pillow complaint…</p><p><br></p><p><strong>Jake</strong>: Yeah, you’re right. I’ll focus on the important stuff. But still—what kind of “luxury” is this?!</p>",Writing,c1,"""can compose formal correspondence such as letters of complaint using appropriate register""",email / letter,evaluate (c1),holistic (c1),"holidays, travel, and transportation (c1)",,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-C1-12,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an analysis of international refugee policy effectiveness. </strong></p><p><br></p><p>Consider the following: </p><p><br></p><p>- current frameworks</p><p>- implementation challenges </p><p>- humanitarian impacts </p><p>- coordination issues </p><p>- reform proposals</p>,Writing,c1,can write clear analyses of complex social issues,report,evaluate (c1),holistic (c1),politics and society (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-13,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a research report on urban air pollution solutions. </strong></p><p><br></p><p>Include the following: </p><p><br></p><p>- environmental science </p><p>- public health </p><p>- urban planning </p><p>- economic factors </p><p>- policy recommendations</p>,Writing,c1,can synthesize information from various sources into coherent arguments,report,evaluate (c1),holistic (c1),natural world and environment (c1),,,0.93,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-C1-901,General,,carbon pricing mechanisms,instruction,"<p><em>Many governments are considering laws that would prevent children and teenagers from using social media.</em></p><p><br></p><p><strong>Write an essay responding to this statement: 'Social media platforms should be banned for anyone under the age of 16.'</strong></p><p><br></p><ul><li>Consider the arguments for and against restricting young people's access to social media</li><li>Evaluate the responsibility of governments, platforms, and parents in protecting young people online</li><li>Support your position with examples from your own knowledge and experience</li></ul><p><br></p>",Writing,c1,"can present complex topics clearly, marking relationships between ideas",essay,evaluate (c1),holistic (c1),science and technology (c1),,,0.93,1200,1.0,0.0,1.0,,FALSE,,,0,0,,0,50,500,
W-C1-20001,General,,Task title,instruction,Write an analysis of international refugee policy effectiveness. Consider: - current frameworks - implementation challenges - humanitarian impacts - coordination issues - reform proposals,Writing,c1,can write clear analyses of complex social issues,report,policy analysis,,global challenges (accessible),,,0.9,1200,0.5,0.0,1.0,"""""",FALSE,,,0.0,0.0,,0,,,
W-A1-20260401080639,,,,Read the task below and write your response in the space provided.,<p><strong>Write about your hobbies.</strong></p><p><br></p><ul><li>What do you like to do in your free time?</li><li>When do you do this?</li><li>Why do you enjoy it?</li></ul><p><br></p>,Writing,a1,"can write straightforward, detailed descriptions on familiar subjects",paragraph,inform (a1),holistic (a1),"sports, hobbies, and interests (a1)",,,0.32,600,1.0,0.0,1.0,,FALSE,,,0,0,,0,20,150,
W-A1-20260401080754,,,,Read the task below and write your response in the space provided.,<p><strong>Write about your home.</strong></p><p><br></p><ul><li>Where do you live?</li><li>What is your home like?</li><li>What do you like about it?</li></ul><p><br></p>,Writing,a1,"can write short, simple notes and messages relating to matters in areas of immediate need",paragraph,inform (a1),holistic (a1),"house, home, and daily life (a1)",,,0.32,600,1.0,0.0,1.0,,FALSE,,,0,0,,0,25,150,
W-A2-20260401081154,,,,Read the task below and write your response in the space provided.,<p><strong>Write about your weekend.</strong></p><p><br></p><ul><li>What did you do?</li><li>Who did you spend time with?</li><li>What did you enjoy the most?</li></ul><p><br></p>,Writing,a2,"can write straightforward, detailed descriptions on familiar subjects",paragraph,inform (a2),holistic (b1),"sports, hobbies, and interests (a2)",,,0.47,600,1.0,0.0,1.0,,FALSE,,,0,0,,0,25,250,
W-A2-20260401081256,,,,Read the task below and write your response in the space provided.,<p><strong>Write about a typical day.</strong></p><p><br></p><ul><li>What time do you get up?</li><li>What do you do during the day?</li><li>How do you feel at the end of the day?</li></ul><p><br></p>,Writing,a2,"can leave a simple message giving information regarding for instance where they have gone, or what time they will be back",paragraph,inform (a2),holistic (a1),"sports, hobbies, and interests (a2)",,,0.47,600,1.0,0.0,1.0,,FALSE,,,0,0,,0,25,250,
W-A2-20260401081426,,,,Read the task below and write your response in the space provided.,<p><strong>Write about something you enjoy doing.</strong></p><p><br></p><ul><li>What do you enjoy doing?</li><li>When and where do you do it?</li><li>Why do you like it?</li></ul><p><br></p>,Writing,a2,"can leave a simple message giving information regarding for instance where they have gone, or what time they will be back",paragraph,inform (a2),holistic (a1),"sports, hobbies, and interests (a2)",,,0.47,600,1.0,0.0,1.0,,FALSE,,,0,0,,0,25,250,
W-B1-20260401081828,,,,Read the task below and write your response in the space provided.,<p><em>The way people work is changing in many countries.</em></p><p><br></p><p><strong>Write an essay discussing how work and jobs are different today compared to the past.</strong></p><p><br></p><ul><li>Think about how technology has changed the workplace</li><li>Consider both the benefits and challenges of these changes</li><li>Use examples from your own experience or people you know</li></ul><p><br></p>,Writing,b1,"can leave a simple message giving information regarding for instance where they have gone, or what time they will be back",essay,describe (b1),holistic (a1),workplace and jobs (b1),,,0.64,900,1.0,0.0,1.0,,FALSE,,,0,14,,0,25,300,
W-B1-20260401081932,,,,Read the task below and write your response in the space provided.,<p><em>Many people are worried about the state of the environment.</em></p><p><br></p><p><strong>Write an essay discussing what people in your community can do to help the environment.</strong></p><p><br></p><ul><li>Think about everyday actions people can take</li><li>Consider both individual responsibility and the role of local government</li><li>Use examples from your own life and community</li></ul><p><br></p>,Writing,b1,"can write short, simple essays on topics of interest",essay,inform (b1),holistic (b1),natural world and environment (b1),,,0.64,900,1.0,0.0,1.0,,FALSE,,,0,21,,0,25,300,
W-B1-20260401082034,,,,Read the task below and write your response in the space provided.,<p><em>Education is changing in many parts of the world.</em></p><p><br></p><p><strong>Write an essay discussing how technology is changing the way people learn.</strong></p><p><br></p><ul><li>Think about how students use technology in and out of the classroom</li><li>Consider both the advantages and disadvantages</li><li>Use examples from your own experience as a learner</li></ul><p><br></p>,Writing,b1,can produce simple phrases and sentences about themselves and imaginary people,essay,inform (b1),holistic (a1),science and technology (b1),,,0.64,900,1.0,0.0,1.0,,FALSE,,,0,26,,0,25,300,
W-B1-20260401082137,,,,Read the task below and write your response in the space provided.,<p><em>Online shopping is becoming more popular every year.</em></p><p><br></p><p><strong>Write an essay discussing how shopping habits have changed in recent years.</strong></p><p><br></p><ul><li>Think about how people shopped in the past compared to now</li><li>Consider both the benefits and drawbacks of online shopping</li><li>Use examples from your own shopping habits</li></ul><p><br></p>,Writing,b1,"can write reviews of films, books or plays",essay,inform (b1),holistic (b1),"shopping, money, and personal finance (b1)",,,0.64,900,1.0,0.0,1.0,,FALSE,,,0,15,,0,25,300,
